"","Date","X","Y","TP","Flow"
"101",1995-05-31 12:00:00,1590.04166666667,1,0.02,24.92
"102",1995-07-13 12:00:00,1633.04166666667,1,0,8.88
"103",1995-08-21 12:00:00,1672.04166666667,1,0.01,4.64
"104",1995-09-25 09:00:00,1706.91666666667,1,0.14,40.35
"105",1995-10-04 12:00:00,1716.04166666667,1,0.02,28.8
"106",1995-11-13 12:00:00,1756,1,0.01,4.9
"107",1995-12-28 12:00:00,1801,1,0.15,3.68
"108",1996-02-09 12:00:00,1844,1,0.01,7.04
"109",1996-03-20 12:00:00,1884,1,0.01,2.6
"110",1996-05-01 12:00:00,1926.04166666667,1,0.01,1.24
"111",1996-05-05 12:00:00,1930.04166666667,1,0.05,3.32
"112",1996-05-08 12:00:00,1933.04166666667,1,0.03,129.15
"113",1996-06-11 12:00:00,1967.04166666667,1,0.01,6.8
"114",1996-07-24 12:00:00,2010.04166666667,1,0.01,10.72
"115",1996-07-28 10:35:00,2013.98263888889,1,0.04,22.21
"116",1996-08-07 12:00:00,2024.04166666667,1,0.01,17.48
"117",1996-09-01 12:00:00,2049.04166666667,1,0.2,1079.85
"118",1996-09-03 10:01:00,2050.95902777778,1,0.06,256.03
"119",1996-09-10 10:40:00,2057.98611111111,1,0.04,32.66
"120",1996-10-16 12:00:00,2094.04166666667,1,0.01,13.85
"121",1996-10-18 12:00:00,2096.04166666667,1,0.135,22.24
"122",1996-11-27 12:00:00,2136,1,0.01,9.36
"123",1997-01-08 12:00:00,2178,1,0.01,0.28
"124",1997-02-13 12:00:00,2214,1,0.03,31.88
"125",1997-02-17 12:00:00,2218,1,0.01,4.71
"126",1997-04-07 12:00:00,2267.04166666667,1,0.01,0.2842
"127",1997-05-16 12:00:00,2306.04166666667,1,0.03,0.12
"128",1997-05-18 12:00:00,2308.04166666667,1,0.01,0.79
"129",1997-06-24 12:00:00,2345.04166666667,1,0.01,3.88
"130",1997-06-27 12:00:00,2348.04166666667,1,0.07625,9.8
"131",1997-06-28 12:00:00,2349.04166666667,1,0.256666666666667,1991.14
"132",1997-06-29 12:00:00,2350.04166666667,1,0.18,1031.71
"133",1997-06-30 12:00:00,2351.04166666667,1,0.1,346.44
"134",1997-07-01 12:00:00,2352.04166666667,1,0.08,172.16
"135",1997-07-02 12:00:00,2353.04166666667,1,0.07,115.6
"136",1997-07-04 12:00:00,2355.04166666667,1,0.06,66.36
"137",1997-07-21 12:00:00,2372.04166666667,1,0.02,10.4
"138",1997-08-08 12:00:00,2390.04166666667,1,0.02,7.84
"139",1997-09-18 12:00:00,2431.04166666667,1,0.01,9.8
"140",1997-09-26 08:15:00,2438.88541666667,1,0.02,51.27
"141",1997-10-01 12:00:00,2444.04166666667,1,0.02,43.96
"142",1997-10-28 12:00:00,2471,1,0.01,3.35
"143",1998-03-03 12:00:00,2597,1,0.01,0
"144",1998-05-25 12:00:00,2680.04166666667,1,0.01,10.37
"145",1998-06-23 12:00:00,2709.04166666667,1,0.01,6.61
"146",1998-06-30 12:00:00,2716.04166666667,1,0.01,35.51
"147",1998-07-09 12:00:00,2725.04166666667,1,0.01,13.56
"148",1998-07-26 12:00:00,2742.04166666667,1,0.01,49.85
"149",1998-08-01 12:00:00,2748.04166666667,1,0.03,138.99
"150",1998-08-07 12:00:00,2754.04166666667,1,1.25666666666667,164.97
"151",1998-08-08 12:00:00,2755.04166666667,1,1.25,10221.68
"152",1998-08-10 12:00:00,2757.04166666667,1,0.08,733.91
"153",1998-08-14 12:00:00,2761.04166666667,1,0.03,126.11
"154",1998-08-18 12:00:00,2765.04166666667,1,0.16,2622.12
"155",1998-08-21 12:00:00,2768.04166666667,1,0.04,724.23
"156",1998-08-28 12:00:00,2775.04166666667,1,0.07,145.33
"157",1998-09-14 12:00:00,2792.04166666667,1,0.03,42.25
"158",1998-09-29 12:00:00,2807.04166666667,1,0.01,26.12
"159",1998-10-20 12:00:00,2828.04166666667,1,0.04,15.83
"160",1998-10-22 12:00:00,2830.04166666667,1,0.02,36.41
"161",1998-11-09 12:00:00,2848,1,0.01,8.96
"162",1998-11-14 12:00:00,2853,1,0.02,61.4
"163",1998-12-21 12:00:00,2890,1,0.01,4.28
"164",1999-01-28 12:00:00,2928,1,0.01,0
"165",1999-01-29 12:00:00,2929,1,0.01,0.03
"166",1999-02-23 12:00:00,2954,1,0.01,0.44
"167",1999-03-22 12:00:00,2981,1,0.01,0.12
"168",1999-04-21 12:00:00,3011.04166666667,1,0.01,1.19
"169",1999-05-20 12:00:00,3040.04166666667,1,0,1.62
"170",1999-06-17 12:00:00,3068.04166666667,1,0,3.5
"171",1999-07-13 12:00:00,3094.04166666667,1,0,4.61
"172",1999-07-16 09:15:00,3096.92708333333,1,0.03,47.89
"173",1999-07-17 09:42:00,3097.94583333333,1,0.02,67.51
"174",1999-07-22 12:00:00,3103.04166666667,1,0.01,17.74
"175",1999-08-12 12:00:00,3124.04166666667,1,0.01,6.27
"176",1999-09-09 12:00:00,3152.04166666667,1,0.01,5.61
